Event ID,Event Name,Focus Unit,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T20,T30,T40,T50,T100,T200,T300,T400,T500,T1000,T2000,T3000,T4000,T5000,T10000,T20000,T30000,T40000,T50000,T100000
70,Paint What I Love? Rainbow Canvas,Ena Shinonome,"243,991,027","230,041,903","100,000,072","71,314,430","71,127,430","70,000,430","70,000,430","66,666,666","63,000,909","62,527,430","26,000,430","21,000,430","15,835,080","13,766,617","8,493,575","3,914,525","3,238,609","2,996,659","2,909,430","2,248,914","1,560,136","1,362,566","1,259,841","1,208,043","840,080","576,701","468,423","401,005","353,310","213,399"
71,Walk on and on,Toya Aoyagi,"142,052,569","111,232,525","100,032,525","85,251,112","75,250,515","69,696,969","65,251,112","65,251,112","65,251,112","52,532,217","39,511,570","30,003,871","24,616,535","22,403,389","14,118,064","5,921,061","4,646,488","4,019,272","3,813,084","2,765,463","1,809,020","1,546,034","1,423,490","1,368,769","945,050","635,210","506,648","428,625","375,651","222,306"
72,At This Festival Bathed in Twilight,Mafuyu Asahina,"171,271,112","105,000,000","105,000,000","101,112,127","96,000,000","88,390,883","88,127,624","88,000,012","77,777,777","77,307,922","53,932,630","45,868,813","35,727,796","32,845,220","24,435,438","12,434,348","10,084,172","8,974,814","8,620,186","6,396,856","4,240,919","3,589,333","3,289,846","3,164,299","2,228,407","1,490,312","1,179,598","992,300","863,361","513,732"
73,"Dear Me, From Back Then",Minori Hanasato,"256,000,414","250,000,233","236,195,414","123,414,105","105,414,572","80,105,414","74,160,233","63,414,105","58,470,414","53,831,414","34,140,627","25,516,789","20,414,105","17,236,972","13,753,809","5,850,104","4,510,414","4,052,020","3,864,352","2,848,641","1,928,182","1,660,883","1,548,057","1,487,948","1,065,316","747,935","610,980","525,665","465,354","294,585"
74,A Sad Farewell at the Curtain Call,Rui Kamishiro,"217,588,246","200,000,002","200,000,001","141,278,246","138,008,517","136,922,000","135,521,016","134,809,624","134,801,624","133,517,624","64,647,367","47,400,474","43,224,917","40,264,672","27,469,602","12,154,989","8,258,958","6,518,206","6,194,955","4,217,237","2,527,067","2,044,018","1,842,922","1,778,657","1,243,995","846,010","682,962","585,255","517,245","323,562"
75,Screaming?! Welcome to the Forest of Wolves!,Kohane Azusawa,"203,726,302","189,323,928","182,310,414","180,302,414","128,108,302","126,020,814","111,697,933","110,144,203","88,888,888","88,888,888","52,217,272","35,653,136","32,010,310","27,666,929","15,918,462","7,994,983","6,236,576","5,519,195","5,194,861","3,775,842","2,623,007","2,277,935","2,079,107","1,952,856","1,336,760","891,542","700,676","588,634","510,580","294,610"
76,Echo My Melody,Ichika Hoshino,"208,110,822","130,811,831","105,811,105","81,100,000","71,391,027","71,391,027","66,666,666","62,700,416","58,811,000","51,861,623","45,802,660","27,811,859","20,001,999","17,488,648","12,705,277","5,465,136","4,116,606","3,718,849","3,617,673","2,698,239","1,811,130","1,564,830","1,451,073","1,393,846","983,923","690,875","558,096","477,967","422,389","262,259"
77,Hope Will Someday Go Beyond the Morning,Ena Shinonome,"259,000,430","243,001,112","180,000,430","126,146,107","115,999,999","111,888,430","110,127,430","100,000,511","100,000,430","100,000,127","69,430,430","50,646,150","33,429,991","28,304,271","20,537,929","9,669,116","7,324,898","6,206,271","5,950,896","4,094,537","2,472,597","2,013,894","1,820,715","1,750,367","1,202,239","807,704","647,101","554,399","488,869","306,120"
78,Beyond The Dream of That Day,Haruka Kiritani,"245,101,712","239,511,005","131,105,105","105,555,501","100,127,757","92,740,000","90,105,811","87,105,512","87,105,026","80,000,000","50,023,020","33,905,205","29,539,211","28,333,333","19,873,594","8,439,758","6,871,476","6,246,483","6,097,940","4,768,698","3,425,843","2,996,730","2,734,544","2,604,592","1,745,223","1,153,802","903,597","757,533","656,562","383,736"
79,Find A Way Out,Akito Shinonome,"202,551,211","150,122,700","149,827,174","124,611,125","116,300,812","112,281,828","110,000,999","102,271,978","101,219,011","100,012,112","58,191,211","45,007,559","37,807,037","35,795,273","22,111,227","10,364,308","8,404,828","6,961,843","6,550,828","4,490,605","2,791,763","2,386,080","2,169,093","2,075,298","1,332,438","870,252","691,111","585,568","513,036","322,708"
80,Raise Your Bow in a Snow-White World,Shizuku Hinomori,"250,126,127","212,060,127","160,933,126","140,000,000","136,926,280","135,501,011","130,339,827","130,126,127","130,126,127","130,126,127","69,000,000","38,618,378","32,449,609","31,318,294","17,547,369","7,203,847","5,342,157","4,657,587","4,503,619","3,337,190","2,201,721","1,907,049","1,765,923","1,702,016","1,182,424","807,654","652,759","559,581","493,568","311,931"
81,Happy New Year! Lion Dance Robot's New Year's Show!,Tsukasa Tenma,"150,121,175","150,121,175","150,121,175","145,200,124","141,211,517","133,366,707","95,171,112","88,012,270","88,012,270","77,953,546","67,135,695","51,863,105","40,873,439","37,448,039","28,938,888","12,836,806","9,838,491","8,549,061","8,286,757","5,840,857","3,693,451","3,162,850","2,893,435","2,785,142","1,815,614","1,161,324","896,810","745,851","643,467","376,230"
82,To The Gleaming Stars Halfway Through a Dream,Emu Otori,"320,720,909","212,270,909","190,907,811","128,909,517","120,517,909","117,500,909","100,624,909","77,700,248","72,090,911","71,517,909","45,271,246","37,100,407","30,000,777","26,522,926","15,990,729","7,305,962","5,896,767","5,258,767","5,081,023","3,778,080","2,554,488","2,212,576","2,037,682","1,960,116","1,346,265","908,786","724,743","614,614","539,211","331,920"
83,Little Bravers!,Honami Mochizuki,"211,001,027","164,596,074","129,001,027","118,102,759","115,131,027","108,811,214","102,700,811","91,919,191","91,027,721","90,001,027","46,220,956","27,227,719","24,016,445","22,614,061","13,258,745","5,511,307","4,406,190","3,884,023","3,731,307","2,912,205","2,006,817","1,728,516","1,602,794","1,535,820","1,041,464","699,745","556,425","469,200","409,647","251,145"
84,Memories That Come With The Scent of Candles,Ichika Hoshino,"210,811,720","200,000,000","141,112,125","121,929,685","121,012,720","111,111,111","68,999,797","58,000,210","57,811,720","57,811,720","37,102,969","31,519,482","22,708,761","21,447,142","15,208,810","7,433,772","6,042,996","5,383,039","5,192,712","4,047,050","2,864,175","2,455,377","2,235,530","2,132,951","1,395,952","898,770","696,304","577,102","497,294","287,305"
85,At The End of The Unraveled Thread,Shizuku Hinomori,"232,126,520","200,000,000","99,999,999","72,101,260","69,510,011","58,144,277","56,134,869","51,206,319","46,121,939","41,812,146","20,937,355","17,777,777","14,188,293","12,532,632","8,693,611","4,499,117","3,622,952","3,362,341","3,297,908","2,568,574","1,801,470","1,567,144","1,443,269","1,384,153","939,254","634,308","503,706","423,863","368,955","222,570"
86,Kick It Up a Notch,Kohane Azusawa,"302,726,214","172,600,302","172,600,302","107,260,302","103,302,622","93,020,527","89,111,232","86,726,325","82,666,647","81,227,217","54,000,000","32,703,188","28,460,824","27,726,302","20,240,224","6,909,299","5,293,013","4,650,000","4,485,314","3,322,000","2,194,216","1,893,225","1,750,000","1,684,598","1,132,917","1,225,000","679,000","602,486",,"257,000"
87,Never Give Up Cooking!,Toya Aoyagi,"200,118,000","175,202,217","172,246,255","159,228,314","135,250,217","122,093,339","121,700,524","105,525,624","101,317,054","95,175,255","86,068,479","75,009,271","60,000,909","50,841,801","34,785,525","17,000,000","12,718,825","10,852,195","10,552,845","6,857,251","2,686,424","2,207,000","1,911,000","2,879,865","1,860,000","1,250,000","1,080,000",,,"300,000"
